INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                  MATCH
freeipa-client-4.5.2-4.fc27.x86_64                                    
├─rtld(GNU_HASH)                                                      glibc-2.25.90-27.fc27.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                                        glibc-2.25.90-27.fc27.x86_64
├─libpthread.so.0()(64bit)                                            glibc-2.25.90-27.fc27.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)                                 glibc-2.25.90-27.fc27.x86_64
├─libdl.so.2()(64bit)                                                 glibc-2.25.90-27.fc27.x86_64
├─libcrypto.so.1.1()(64bit)                                           openssl-libs-1:1.1.0f-7.fc27.x86_64
├─/usr/bin/python2                                                    python2-2.7.13-12.fc27.x86_64
├─libcom_err.so.2()(64bit)                                            libcom_err-1.43.4-2.fc26.x86_64
├─libkrb5.so.3()(64bit)                                               krb5-libs-1.15.1-14.fc27.x86_64
├─libnspr4.so()(64bit)                                                nspr-4.15.0-1.fc27.x86_64
├─libnss3.so()(64bit)                                                 nss-3.31.0-2.fc27.x86_64
├─libk5crypto.so.3()(64bit)                                           krb5-libs-1.15.1-14.fc27.x86_64
├─libpopt.so.0()(64bit)                                               popt-1.16-8.fc26.x86_64
├─libplc4.so()(64bit)                                                 nspr-4.15.0-1.fc27.x86_64
├─liblber-2.4.so.2()(64bit)                                           openldap-2.4.45-1.fc27.x86_64
├─libplds4.so()(64bit)                                                nspr-4.15.0-1.fc27.x86_64
├─libssl3.so()(64bit)                                                 nss-3.31.0-2.fc27.x86_64
├─libsmime3.so()(64bit)                                               nss-3.31.0-2.fc27.x86_64
├─libnssutil3.so()(64bit)                                             nss-util-3.31.0-2.fc27.x86_64
├─libsasl2.so.3()(64bit)                                              cyrus-sasl-lib-2.1.26-32.fc27.x86_64
├─libpopt.so.0(LIBPOPT_0)(64bit)                                      popt-1.16-8.fc26.x86_64
├─libkrb5.so.3(krb5_3_MIT)(64bit)                                     krb5-libs-1.15.1-14.fc27.x86_64
├─curl                                                                curl-minimal-7.54.1-2.fc27.x86_64
├─initscripts                                                         initscripts-9.72-1.fc27.x86_64
├─libldap_r-2.4.so.2()(64bit)                                         openldap-2.4.45-1.fc27.x86_64
├─libk5crypto.so.3(k5crypto_3_MIT)(64bit)                             krb5-libs-1.15.1-14.fc27.x86_64
├─libxmlrpc.so.3()(64bit)                                             xmlrpc-c-1.48.0-5.fc27.x86_64
├─libxmlrpc_util.so.4()(64bit)                                        xmlrpc-c-1.48.0-5.fc27.x86_64
├─nss-tools                                                           nss-tools-3.31.0-2.fc27.x86_64
├─python-ldap                                                         python-ldap-2.4.25-4.fc27.x86_64
├─libbasicobjects.so.0()(64bit)                                       libbasicobjects-0.1.1-30.fc26.x86_64
├─libcollection.so.4()(64bit)                                         libcollection-0.7.0-30.fc26.x86_64
├─libref_array.so.1()(64bit)                                          libref_array-0.1.5-30.fc26.x86_64
├─libxmlrpc_client.so.3()(64bit)                                      xmlrpc-c-client-1.48.0-5.fc27.x86_64
├─bind-utils                                                          bind-utils-32:9.11.1-4.P3.fc27.x86_64
├─libini_config.so.5()(64bit)                                         libini_config-1.3.0-30.fc26.x86_64
├─nfs-utils                                                           nfs-utils-1:2.1.1-5.rc4.fc27.x86_64
├─ntp                                                                 ntp-4.2.8p10-1.fc27.x86_64
├─authconfig                                                          authconfig-7.0.1-1.fc27.x86_64
├─libnfsidmap                                                         libnfsidmap-0.27-1.fc26.x86_64
├─libini_config.so.5(INI_CONFIG_1.1.0)(64bit)                         libini_config-1.3.0-30.fc26.x86_64
