INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                         MATCH
389-ds-base-1.3.7.2-1.fc28.src                               
├─perl-generators                                            perl-generators-1.10-6.fc27.noarch
├─python3-devel                                              python3-devel-3.6.2-11.fc27.s390x
├─libtool                                                    libtool-2.4.6-20.fc27.s390x
├─python3-setuptools                                         python3-setuptools-36.2.0-7.fc28.noarch
├─autoconf                                                   autoconf-2.69-25.fc27.noarch
├─automake                                                   automake-1.15.1-2.fc27.noarch
├─zlib-devel                                                 zlib-devel-1.2.11-4.fc27.s390x
├─doxygen                                                    doxygen-1:1.8.13-10.fc27.s390x
├─openssl-devel                                              openssl-devel-1:1.1.0f-9.fc27.s390x
├─gcc-c++                                                    gcc-c++-7.1.1-7.fc27.1.s390x
├─systemd-units                                              systemd-234-5.fc27.s390x
├─bzip2-devel                                                bzip2-devel-1.0.6-24.fc27.s390x
├─pcre-devel                                                 pcre-devel-8.41-1.fc27.2.s390x
├─pam-devel                                                  pam-devel-1.3.0-6.fc28.s390x
├─systemd-devel                                              systemd-devel-234-5.fc27.s390x
├─openldap-devel                                             openldap-devel-2.4.45-3.fc27.s390x
├─libicu-devel                                               libicu-devel-57.1-4.fc26.s390x
├─nss-devel                                                  nss-devel-3.32.0-3.fc28.s390x
├─cyrus-sasl-devel                                           cyrus-sasl-devel-2.1.26-34.fc27.s390x
├─libdb-devel                                                libdb-devel-5.3.28-26.fc27.s390x
├─libevent-devel                                             libevent-devel-2.0.22-6.fc27.s390x
├─nspr-devel                                                 nspr-devel-4.16.0-1.fc27.s390x
├─net-snmp-devel                                             net-snmp-devel-1:5.7.3-27.fc28.s390x
├─lm_sensors-devel                                           lm_sensors-devel-3.4.0-8.fc27.s390x
├─libtalloc-devel                                            libtalloc-devel-2.1.10-4.fc27.s390x
├─libcmocka-devel                                            libcmocka-devel-1.1.1-7.fc27.s390x
├─gperftools-devel                                           gperftools-devel-2.6.1-3.fc27.s390x
├─icu                                                        icu-57.1-4.fc26.s390x
├─libtevent-devel                                            libtevent-devel-0.9.33-3.fc27.s390x
├─tcp_wrappers                                               tcp_wrappers-7.6-87.fc27.s390x
├─gperftools-libs                                            gperftools-libs-2.6.1-3.fc27.s390x
└─svrcore-devel >= 4.1.3                                     svrcore-devel-4.1.3-3.fc27.s390x
bind-32:9.11.1-6.P3.fc27.src                                 
├─python3-devel                                              python3-devel-3.6.2-11.fc27.s390x
├─libtool                                                    libtool-2.4.6-20.fc27.s390x
├─autoconf                                                   autoconf-2.69-25.fc27.noarch
├─pkgconfig                                                  pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─systemd                                                    systemd-234-5.fc27.s390x
├─openssl-devel                                              openssl-devel-1:1.1.0f-9.fc27.s390x
├─libxml2-devel                                              libxml2-devel-2.9.4-5.fc28.s390x
├─sqlite-devel                                               sqlite-devel-3.20.0-2.fc28.s390x
├─libxslt                                                    libxslt-1.1.29-6.fc28.s390x
├─docbook-style-xsl                                          docbook-style-xsl-1.79.2-5.fc27.noarch
├─openldap-devel                                             openldap-devel-2.4.45-3.fc27.s390x
├─postgresql-devel                                           postgresql-devel-9.6.4-1.fc27.s390x
├─krb5-devel                                                 krb5-devel-1.15.1-25.fc28.s390x
├─libcap-devel                                               libcap-devel-2.25-7.fc27.s390x
├─libdb-devel                                                libdb-devel-5.3.28-26.fc27.s390x
├─libidn-devel                                               libidn-devel-1.33-4.fc27.s390x
├─GeoIP-devel                                                GeoIP-devel-1.6.11-3.fc27.s390x
├─mariadb-devel                                              mariadb-devel-3:10.2.7-8.fc27.s390x
└─python3-ply                                                python3-ply-3.9-4.fc27.noarch
GeoIP-1.6.11-3.fc27.src                                      
├─make                                                       make-1:4.2.1-4.fc27.s390x
├─coreutils                                                  coreutils-8.27-16.fc28.s390x
├─zlib-devel                                                 zlib-devel-1.2.11-4.fc27.s390x
├─gcc                                                        gcc-7.1.1-7.fc27.1.s390x
└─sed                                                        sed-4.4-3.fc27.s390x
GeoIP-GeoLite-data-2017.08-1.fc27.src                        
perl-Mozilla-LDAP-1.5.3-24.fc27.src                          
├─perl-generators                                            perl-generators-1.10-6.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                  perl-ExtUtils-MakeMaker-1:7.30-2.fc27.noarch
├─perl-devel                                                 perl-devel-4:5.26.0-399.fc28.s390x
├─nss-devel                                                  nss-devel-3.32.0-3.fc28.s390x
├─nspr-devel                                                 nspr-devel-4.16.0-1.fc27.s390x
├─perl-interpreter >= 2:5.8.0                                perl-interpreter-4:5.26.0-399.fc28.s390x
└─openldap-devel >= 2.4.22                                   openldap-devel-2.4.45-3.fc27.s390x
perl-NetAddr-IP-4.079-6.fc27.src                             
├─perl-generators                                            perl-generators-1.10-6.fc27.noarch
├─perl(Test::More)                                           perl-Test-Simple-1:1.302086-2.fc27.noarch
├─perl-interpreter                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(ExtUtils::MakeMaker)                                  perl-ExtUtils-MakeMaker-1:7.30-2.fc27.noarch
├─perl(strict)                                               perl-libs-4:5.26.0-399.fc28.s390x
├─perl(warnings)                                             perl-libs-4:5.26.0-399.fc28.s390x
├─make                                                       make-1:4.2.1-4.fc27.s390x
├─perl(Carp)                                                 perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                             perl-Exporter-5.72-395.fc27.noarch
├─findutils                                                  findutils-1:4.6.0-14.fc27.s390x
├─coreutils                                                  coreutils-8.27-16.fc28.s390x
├─perl(File::Spec)                                           perl-PathTools-3.67-395.fc27.s390x
├─perl(vars)                                                 perl-interpreter-4:5.26.0-399.fc28.s390x
├─gcc                                                        gcc-7.1.1-7.fc27.1.s390x
├─perl-devel                                                 perl-devel-4:5.26.0-399.fc28.s390x
├─perl(Config)                                               perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Data::Dumper)                                         perl-Data-Dumper-2.167-396.fc27.s390x
├─perl(Cwd)                                                  perl-PathTools-3.67-395.fc27.s390x
├─perl(overload)                                             perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Getopt::Long)                                         perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(DynaLoader)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Storable)                                             perl-Storable-1:2.62-395.fc27.s390x
├─perl(Socket)                                               perl-Socket-4:2.024-5.fc27.s390x
├─perl(AutoLoader)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Math::BigInt)                                         perl-Math-BigInt-1:1.9998.11-4.fc27.noarch
├─perl(Pod::Text)                                            perl-podlators-4.09-394.fc27.noarch
└─perl(Socket6)                                              perl-Socket6-0.28-5.fc27.s390x
perl-Socket6-0.28-5.fc27.src                                 
├─perl-generators                                            perl-generators-1.10-6.fc27.noarch
├─perl-interpreter                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(ExtUtils::MakeMaker)                                  perl-ExtUtils-MakeMaker-1:7.30-2.fc27.noarch
├─perl(strict)                                               perl-libs-4:5.26.0-399.fc28.s390x
├─make                                                       make-1:4.2.1-4.fc27.s390x
├─perl(Carp)                                                 perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                             perl-Exporter-5.72-395.fc27.noarch
├─findutils                                                  findutils-1:4.6.0-14.fc27.s390x
├─coreutils                                                  coreutils-8.27-16.fc28.s390x
├─perl(vars)                                                 perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(base)                                                 perl-interpreter-4:5.26.0-399.fc28.s390x
├─gcc                                                        gcc-7.1.1-7.fc27.1.s390x
├─perl-devel                                                 perl-devel-4:5.26.0-399.fc28.s390x
├─perl(Config)                                               perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Test)                                                 perl-Test-1.30-399.fc28.noarch
├─perl(DynaLoader)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
└─perl(Socket)                                               perl-Socket-4:2.024-5.fc27.s390x
svrcore-4.1.3-3.fc27.src                                     
├─libtool                                                    libtool-2.4.6-20.fc27.s390x
├─autoconf                                                   autoconf-2.69-25.fc27.noarch
├─automake                                                   automake-1.15.1-2.fc27.noarch
├─pkgconfig                                                  pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─systemd-devel                                              systemd-devel-234-5.fc27.s390x
├─pkgconfig(systemd)                                         systemd-234-5.fc27.s390x
├─nspr-devel >= 4.6                                          nspr-devel-4.16.0-1.fc27.s390x
└─nss-devel >= 3.11                                          nss-devel-3.32.0-3.fc28.s390x
autoconf-2.69-25.fc27.noarch                                 
├─perl(strict)                                               perl-libs-4:5.26.0-399.fc28.s390x
├─perl(warnings)                                             perl-libs-4:5.26.0-399.fc28.s390x
├─perl(Carp)                                                 perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                             perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                                 perl-interpreter-4:5.26.0-399.fc28.s390x
├─/usr/bin/perl                                              perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(constant)                                             perl-constant-1.33-395.fc27.noarch
├─perl(Getopt::Long)                                         perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(File::Spec)                                           perl-PathTools-3.67-395.fc27.s390x
├─perl(POSIX)                                                perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Basename)                                       perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Data::Dumper)                                         perl-Data-Dumper-2.167-396.fc27.s390x
├─perl(Cwd)                                                  perl-PathTools-3.67-395.fc27.s390x
├─perl(DynaLoader)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Path)                                           perl-File-Path-2.15-1.fc27.noarch
├─perl(IO::File)                                             perl-IO-1.38-399.fc28.s390x
├─perl(File::Copy)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Find)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Errno)                                                perl-Errno-1.28-399.fc28.s390x
├─perl(Text::ParseWords)                                     perl-Text-ParseWords-3.30-394.fc27.noarch
├─perl(File::stat)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─emacs-filesystem                                           emacs-filesystem-1:25.2-9.fc28.noarch
├─perl(Class::Struct)                                        perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Compare)                                        perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(:VERSION) >= 5.6.0                                    perl-libs-4:5.26.0-399.fc28.s390x
└─m4 >= 1.4.14                                               m4-1.4.18-5.fc27.s390x
automake-1.15.1-2.fc27.noarch                                
├─perl(strict)                                               perl-libs-4:5.26.0-399.fc28.s390x
├─perl(warnings)                                             perl-libs-4:5.26.0-399.fc28.s390x
├─perl(Carp)                                                 perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                             perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                                 perl-interpreter-4:5.26.0-399.fc28.s390x
├─/usr/bin/perl                                              perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(constant)                                             perl-constant-1.33-395.fc27.noarch
├─perl(Getopt::Long)                                         perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(File::Spec)                                           perl-PathTools-3.67-395.fc27.s390x
├─perl(POSIX)                                                perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Basename)                                       perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(DynaLoader)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Config)                                               perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Path)                                           perl-File-Path-2.15-1.fc27.noarch
├─perl(IO::File)                                             perl-IO-1.38-399.fc28.s390x
├─perl(File::Copy)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Errno)                                                perl-Errno-1.28-399.fc28.s390x
├─perl(File::stat)                                           perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(threads)                                              perl-threads-1:2.16-4.fc27.s390x
├─perl(Class::Struct)                                        perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(File::Compare)                                        perl-interpreter-4:5.26.0-399.fc28.s390x
├─perl(Thread::Queue)                                        perl-Thread-Queue-3.12-394.fc27.noarch
├─perl(:VERSION) >= 5.6.0                                    perl-libs-4:5.26.0-399.fc28.s390x
└─autoconf >= 2.65                                           autoconf-2.69-25.fc27.noarch
bzip2-devel-1.0.6-24.fc27.s390x                              
├─/usr/bin/pkg-config                                        pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─libbz2.so.1()(64bit)                                       bzip2-libs-1.0.6-24.fc27.s390x
└─bzip2-libs = 1.0.6-24.fc27                                 bzip2-libs-1.0.6-24.fc27.s390x
cyrus-sasl-devel-2.1.26-34.fc27.s390x                        
├─rtld(GNU_HASH)                                             glibc-2.26.90-9.fc28.s390x
├─libdl.so.2()(64bit)                                        glibc-2.26.90-9.fc28.s390x
├─/usr/bin/pkg-config                                        pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─libc.so.6(GLIBC_2.15)(64bit)                               glibc-2.26.90-9.fc28.s390x
├─pkgconfig                                                  pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─libcrypt.so.1()(64bit)                                     libcrypt-2.26.90-9.fc28.s390x
├─libresolv.so.2()(64bit)                                    glibc-2.26.90-9.fc28.s390x
├─libcom_err.so.2()(64bit)                                   libcom_err-1.43.5-2.fc27.s390x
├─libkrb5.so.3()(64bit)                                      krb5-libs-1.15.1-25.fc28.s390x
├─libk5crypto.so.3()(64bit)                                  krb5-libs-1.15.1-25.fc28.s390x
├─libgssapi_krb5.so.2()(64bit)                               krb5-libs-1.15.1-25.fc28.s390x
