INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                 MATCH
389-ds-base-1.3.7.1-2.fc27.src                                       
├─perl-generators                                                    perl-generators-1.10-5.fc27.noarch
├─python3-devel                                                      python3-devel-3.6.2-6.fc27.i686
├─libtool                                                            libtool-2.4.6-20.fc27.i686
├─python3-setuptools                                                 python3-setuptools-36.2.0-3.fc27.noarch
├─autoconf                                                           autoconf-2.69-24.fc26.noarch
├─automake                                                           automake-1.15-9.fc26.noarch
├─zlib-devel                                                         zlib-devel-1.2.11-4.fc27.i686
├─doxygen                                                            doxygen-1:1.8.13-10.fc27.i686
├─openssl-devel                                                      openssl-devel-1:1.1.0f-9.fc27.i686
├─gcc-c++                                                            gcc-c++-7.1.1-7.fc27.1.i686
├─systemd-units                                                      systemd-234-5.fc27.i686
├─bzip2-devel                                                        bzip2-devel-1.0.6-24.fc27.i686
├─pcre-devel                                                         pcre-devel-8.41-1.fc27.2.i686
├─pam-devel                                                          pam-devel-1.3.0-5.fc27.i686
├─systemd-devel                                                      systemd-devel-234-5.fc27.i686
├─openldap-devel                                                     openldap-devel-2.4.45-3.fc27.i686
├─libicu-devel                                                       libicu-devel-57.1-4.fc26.i686
├─nss-devel                                                          nss-devel-3.32.0-2.fc27.i686
├─cyrus-sasl-devel                                                   cyrus-sasl-devel-2.1.26-34.fc27.i686
├─libdb-devel                                                        libdb-devel-5.3.28-26.fc27.i686
├─libevent-devel                                                     libevent-devel-2.0.22-3.fc27.i686
├─nspr-devel                                                         nspr-devel-4.16.0-1.fc27.i686
├─net-snmp-devel                                                     net-snmp-devel-1:5.7.3-20.fc27.i686
├─lm_sensors-devel                                                   lm_sensors-devel-3.4.0-6.fc26.i686
├─libtalloc-devel                                                    libtalloc-devel-2.1.9-2.fc27.i686
├─gperftools-devel                                                   gperftools-devel-2.6.1-1.fc27.i686
├─libcmocka-devel                                                    libcmocka-devel-1.1.1-5.fc27.i686
├─icu                                                                icu-57.1-4.fc26.i686
├─libtevent-devel                                                    libtevent-devel-0.9.32-1.fc27.i686
├─tcp_wrappers                                                       tcp_wrappers-7.6-87.fc27.i686
├─gperftools-libs                                                    gperftools-libs-2.6.1-1.fc27.i686
└─svrcore-devel >= 4.1.3                                             svrcore-devel-4.1.3-1.fc27.i686
bind-32:9.11.1-4.P3.fc27.src                                         
├─python3-devel                                                      python3-devel-3.6.2-6.fc27.i686
├─libtool                                                            libtool-2.4.6-20.fc27.i686
├─autoconf                                                           autoconf-2.69-24.fc26.noarch
├─pkgconfig                                                          pkgconf-pkg-config-1.3.8-1.fc27.i686
├─systemd                                                            systemd-234-5.fc27.i686
├─openssl-devel                                                      openssl-devel-1:1.1.0f-9.fc27.i686
├─libxml2-devel                                                      libxml2-devel-2.9.4-4.fc27.i686
├─sqlite-devel                                                       sqlite-devel-3.20.0-1.fc27.i686
├─libxslt                                                            libxslt-1.1.29-2.fc27.i686
├─docbook-style-xsl                                                  docbook-style-xsl-1.79.2-4.fc26.noarch
├─openldap-devel                                                     openldap-devel-2.4.45-3.fc27.i686
├─postgresql-devel                                                   postgresql-devel-9.6.3-6.fc27.i686
├─krb5-devel                                                         krb5-devel-1.15.1-21.fc27.i686
├─libcap-devel                                                       libcap-devel-2.25-7.fc27.i686
├─libdb-devel                                                        libdb-devel-5.3.28-26.fc27.i686
├─libidn-devel                                                       libidn-devel-1.33-4.fc27.i686
├─GeoIP-devel                                                        GeoIP-devel-1.6.11-1.fc27.i686
├─mariadb-devel                                                      mariadb-devel-3:10.2.7-2.fc27.i686
└─python3-ply                                                        python3-ply-3.9-3.fc27.noarch
checkpolicy-2.6-1.fc26.src                                           
├─flex                                                               flex-2.6.1-3.fc26.i686
├─bison                                                              bison-3.0.4-6.fc26.i686
├─byacc                                                              byacc-1.9.20170201-1.fc26.i686
├─flex-static                                                        flex-devel-2.6.1-3.fc26.i686
├─libsepol-static >= 2.6-0                                           libsepol-static-2.7-1.fc27.i686
└─libselinux-devel >= 2.6-0                                          libselinux-devel-2.7-1.fc27.i686
GeoIP-1.6.11-1.fc27.src                                              
├─make                                                               make-1:4.2.1-4.fc27.i686
├─coreutils                                                          coreutils-8.27-14.fc27.i686
├─zlib-devel                                                         zlib-devel-1.2.11-4.fc27.i686
├─gcc                                                                gcc-7.1.1-7.fc27.1.i686
└─sed                                                                sed-4.4-3.fc27.i686
GeoIP-GeoLite-data-2017.06-1.fc27.src                                
gperftools-2.6.1-1.fc27.src                                          
├─perl-generators                                                    perl-generators-1.10-5.fc27.noarch
└─libunwind-devel                                                    libunwind-devel-1.2-1.fc27.i686
libcgroup-0.41-11.fc26.src                                           
├─coreutils                                                          coreutils-8.27-14.fc27.i686
├─flex                                                               flex-2.6.1-3.fc26.i686
├─systemd-units                                                      systemd-234-5.fc27.i686
├─pam-devel                                                          pam-devel-1.3.0-5.fc27.i686
└─byacc                                                              byacc-1.9.20170201-1.fc26.i686
libunwind-1.2-1.fc27.src                                             
