NetworkManager,"system service that manages network interfaces and connections"
NetworkManager-adsl,"NetworkManager support for adsl devices"
NetworkManager-bluetooth,"NetworkManager support for bluetooth devices"
NetworkManager-libnm,"NetworkManager API"
NetworkManager-team,"NetworkManager support for team devices"
NetworkManager-tui,"NetworkManager CLI"
NetworkManager-wifi,"NetworkManager support for Wifi and OLPC devices"
NetworkManager-wwan,"NetworkManager support for mobile broadband (WWAN) devices"
firewalld,"firewall daemon"
firewalld-filesystem,"provides directory structure for firewalld"
libndp,"used for IPv6 Neighbor Discovery Protocol"
libproxy,"library to handle proxy configuration"
libpsl,"library for the public suffix list"
libteam,"provides API for team network devices"
net-snmp,"Simple Network Management Protocol"
net-snmp-agent-libs,"libraries for the Simple Network Management Protocol"
net-snmp-libs,"libraries for the Simple Network Management Protocol"
net-snmp-utils,"utilities for the Simple Network Management Protocol"
psl,"CLI for the public suffix list"
realmd,"discovery and enrollment in realms and domains like Active Directory or IPA"
teamd,"team network device control daemon"
xmlrpc-c,"quick-and-easy way to make procedure calls over the Internet"
xmlrpc-c-client,"client for xmlrpc-c"
